PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
SHORT,10515520502015110317381451000210,3,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",MEDIUM
SHORT,10515520502015110317381451000210,4,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",LOW
SHORT,10515520502015110317381451000210,5,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",HIGH
SHORT,10515520502015110317381451000210,6,CON18,Consider upgrading major time controls to include optimum start/stop.,LOW
SHORT,10515520502015110317381451000210,7,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,MEDIUM
SHORT,10515520502015110317381451000210,8,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy Assessor to undertake an inspection in compliance with the Energy Performance of Buildings Regulations),LOW
SHORT,10515520502015110317381451000210,9,AC23,Engage experts to review overall air conditioning strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
LONG,9381570022009030212070159070210,1,BF2,Consider introducing or improving insulation of flat roofs.,HIGH
LONG,9381570022009030212070159070210,2,BF3,Consider replacing or improving glazing.,HIGH
LONG,9381570022009030212070159070210,3,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,HIGH
LONG,9381570022009030212070159070210,4,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
LONG,9381570022009030212070159070210,5,AE3,Consider installing building mounted solar water heating.,HIGH
MEDIUM,9381570022009030212070159070210,1,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
MEDIUM,9381570022009030212070159070210,2,BF9,Consider introducing/improving cavity wall insulation.,HIGH
SHORT,9381570022009030212070159070210,1,BF1,Consider introducing or improving loft insulation.,HIGH
SHORT,9381570022009030212070159070210,2,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,9381570022009030212070159070210,3,CON17,Consider installing timer controls to energy consuming plant and equipment and adjust to suit current building occupancy.,LOW
SHORT,9381570022009030212070159070210,4,CON18,Consider upgrading major time controls to include optimum start/stop.,LOW
LONG,3775140022009061709301338970210,1,X1,The current metering provisions do not enable production of a specific and reasonably accurate  Operational Rating for this building.  It is recommended that meters be installed and a regime of recording data be put in place.  CIBSE TM 39 gives guidance on this.,MEDIUM
LONG,3775140022009061709301338970210,2,AE4,Consider installing building mounted photovoltaic electricity generating panels.,LOW
LONG,3775140022009061709301338970210,3,AE3,Consider installing building mounted solar water heating.,LOW
LONG,3775140022009061709301338970210,4,AE1,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,3775140022009061709301338970210,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
SHORT,3775140022009061709301338970210,1,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
SHORT,3775140022009061709301338970210,2,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,3775140022009061709301338970210,3,CON15,Consider installing weather compensator controls on heating and cooling systems.,MEDIUM
SHORT,3775140022009061709301338970210,4,CON18,Consider upgrading major time controls to include optimum start/stop.,MEDIUM
SHORT,3775140022009061709301338970210,5,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,MEDIUM
MEDIUM,105664320002015102416005071500210,4,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,LOW
OTHER,105664320002015102416005071500210,1,None,"Consider replacing boilers with modern, efficient condensing boilers",HIGH
OTHER,105664320002015102416005071500210,2,None,An average of three sensors will provide less sensitive control,HIGH
LONG,105664320002015102416005071500210,1,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
LONG,105664320002015102416005071500210,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,105664320002015102416005071500210,3,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,105664320002015102416005071500210,4,AE3,Consider installing building mounted solar water heating.,MEDIUM
MEDIUM,105664320002015102416005071500210,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,105664320002015102416005071500210,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,105664320002015102416005071500210,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
OTHER,105664320002015102416005071500210,3,None,The piping in the boiler house suggests inadequate zones are provided.  Consider upgrading the controls to multi-zone control,HIGH
OTHER,105664320002015102416005071500210,4,None,Water passes through all boilers even when on standby adding to standing losses.  Provide auto flue dampers or isolation,LOW
OTHER,105664320002015102416005071500210,5,None,Consider use of two port controls along with variable speed pumps to reduce pumping energy,MEDIUM
OTHER,105664320002015102416005071500210,6,None,Radiators require trvs for local control,MEDIUM
OTHER,105664320002015102416005071500210,7,None,Lighting controls do not allow for separate perimeter lighting to reflect the use of daylight.,LOW
OTHER,105664320002015102416005071500210,8,None,Consider upgrading glazing to efficient multi-pane,HIGH
OTHER,105664320002015102416005071500210,9,None,T8 lighting may be improved by use of T5 and leds,MEDIUM
SHORT,105664320002015102416005071500210,1,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
SHORT,105664320002015102416005071500210,2,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
SHORT,105664320002015102416005071500210,3,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",MEDIUM
SHORT,105664320002015102416005071500210,4,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",LOW
SHORT,105664320002015102416005071500210,5,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",HIGH
